264,清真食堂 ,-12
,4/25/2018 12:12,
263,二楼 ,-8.2
,4/23/2018 17:24,
262,一楼 ,-5.5
,4/23/2018 8:26,
261,豆腐坊 ,-6
,4/20/2018 17:41,
260,一楼 ,-18
,4/20/2018 17:39,
259,一楼 ,-20
,4/20/2018 17:39,
258,二楼 ,-14.3
,4/20/2018 11:27,
257,一楼 ,-6.5
,4/20/2018 8:43,
256,新食堂1楼 ,500
,4/20/2018 8:39,
255,一楼 ,-1
,4/13/2018 17:29,
254,一楼 ,-14
,4/13/2018 17:27,
253,三楼 ,-23.5
,4/13/2018 11:25,
252,教工餐厅 ,-3
,4/12/2018 11:54,
251,教工餐厅 ,-4
,4/12/2018 11:47,
250,绿叶餐厅吧台（国定校区） ,-8
,4/10/2018 11:56,
249,教工餐厅 ,-1
,4/10/2018 11:30,
248,教工餐厅 ,-9.2
,4/10/2018 11:30,
247,一楼 ,-7.5
,4/10/2018 8:47,
246,教工餐厅 ,-1
,4/9/2018 17:27,
245,教工餐厅 ,-11.7
,4/9/2018 17:27,
244,二楼 ,-9.2
,4/9/2018 11:32,
243,一楼 ,-1
,4/9/2018 8:49,
242,一楼 ,-5.5
,4/9/2018 8:49,
241,清真食堂 ,-6
,4/8/2018 17:55,
240,清真食堂 ,-6
,4/8/2018 17:55,
239,清真食堂 ,-11
,4/8/2018 17:53,
238,二楼 ,-8.2
,4/8/2018 11:14,
237,清真食堂 ,-7
,4/7/2018 11:39,
236,清真食堂 ,-6
,4/7/2018 11:38,
235,二楼 ,-14.2
,4/6/2018 11:28,
234,一楼 ,-1
,4/6/2018 8:14,
233,一楼 ,-3.2
,4/6/2018 8:14,
232,新食堂面包房 ,-9
,4/5/2018 17:28,
231,一楼 ,-10
,4/5/2018 17:27,
230,盛环(环球餐厅) ,-2.5
,4/5/2018 11:45,
229,盛环(环球餐厅) ,-14
,4/5/2018 11:39,
228,一楼 ,-2
,4/4/2018 18:23,
227,一楼 ,-5
,4/4/2018 18:15,
226,二楼 ,-13.3
,4/4/2018 11:12,
225,三楼 ,-22
,4/3/2018 17:04,
