date,country,disaster_type,severity_index,casualties,economic_loss_usd,response_time_hours,aid_amount_usd,response_efficiency_score,recovery_days,latitude,longitude
2021-01-31,Brazil,Earthquake,5.99,111,7934365.71,15.62,271603.79,83.21,67,-30.613,-122.557
2018-12-23,Brazil,Extreme Heat,6.53,100,8307648.99,5.03,265873.81,96.18,55,10.859,-159.194
2020-08-10,India,Hurricane,1.55,22,765136.99,32.54,49356.49,60.4,22,0.643,-160.978
2022-09-15,Indonesia,Extreme Heat,4.55,94,1308251.31,7.83,237512.88,86.41,47,-33.547,30.35
2022-09-28,United States,Wildfire,3.8,64,2655864.36,21.9,188910.69,72.81,42,-19.17,-117.137
2019-01-15,France,Flood,2.56,56,51588.22,12.12,137988.29,91.57,26,-14.409,-47.947
2020-12-19,Germany,Storm Surge,4.77,81,1243386.99,6.47,194502.18,98.82,49,36.855,78.109
2022-03-31,Greece,Flood,1.47,34,1190129.51,29.18,91727.22,75.97,19,-50.544,-70.319
2024-06-22,Spain,Drought,3.32,56,3871721.46,19.33,134246.08,79.74,27,-36.925,-146.351
2018-11-23,Mexico,Tornado,2.61,73,4375843.52,18.05,182715.32,83.76,22,42.638,124.604
2023-02-01,South Africa,Tornado,5.72,202,5620278.74,16.21,13705.52,87.9,57,16.282,-45.957
2020-05-08,Germany,Drought,4.4,92,27360.73,9.81,251539.35,97.58,41,20.421,68.619
2019-12-02,India,Storm Surge,3.38,50,4931421.33,15.83,133306.93,86.73,34,4.097,-86.764
2021-01-10,Philippines,Landslide,6.94,90,5800746.32,4.96,143807.95,96.52,70,58.743,47.6
2021-08-21,Greece,Hurricane,5.01,88,1464562.62,7.48,216169.8,88.51,49,41.142,93.84
2021-07-16,Mexico,Earthquake,5.81,225,6315084.56,9.55,281757.3,80.85,57,-11.86,-147.496
2020-05-20,Nigeria,Drought,5.12,228,4627972.07,10.88,252468.22,83.27,56,18.653,-35.485
2020-12-20,Philippines,Wildfire,6.5,181,3546598.96,14.39,142844.27,88.54,75,-43.244,83.296
2024-07-22,Greece,Tornado,3.02,43,3169347.47,13.38,57319.56,86.96,24,-8.588,28.401
2019-07-21,Germany,Hurricane,5.95,64,10556058.08,4.15,259052.06,99.91,53,1.143,-139.091
2019-09-19,Japan,Flood,5.45,180,1070573.75,9.72,301098.79,94.19,48,15.294,99.307
2018-09-18,Canada,Storm Surge,2.36,59,2709393.08,21.6,134300.37,75.0,24,-13.828,32.602
2020-10-26,Philippines,Extreme Heat,5.59,71,10797388.38,10.96,146211.37,92.32,50,56.529,122.665
2024-01-09,United States,Flood,6.57,207,3876516.99,12.12,382982.29,91.99,75,30.105,91.324
2021-04-17,France,Flood,4.51,56,2503713.96,6.57,218507.81,95.14,46,-7.828,-15.734
2020-01-02,Italy,Extreme Heat,6.65,133,11490540.73,5.89,694738.38,97.24,62,0.922,-133.82
2024-10-30,Australia,Extreme Heat,2.86,70,2538862.66,20.36,169963.05,79.27,24,-36.131,-42.869
2023-12-13,China,Extreme Heat,1.97,30,2813989.2,25.43,49425.56,75.43,21,50.219,33.641
2019-04-04,Bangladesh,Earthquake,3.23,69,3326358.72,9.14,184743.67,93.67,37,51.492,128.765
2018-08-26,Australia,Hurricane,7.11,44,3774759.55,9.33,428415.95,93.25,90,-31.095,22.901
2023-06-14,India,Flood,6.14,192,9071415.98,11.07,268362.76,92.72,57,37.923,162.515
2019-06-10,Greece,Wildfire,4.53,68,4711658.82,22.18,57279.75,81.25,37,19.17,151.929
2023-12-02,China,Tornado,4.06,125,4186500.53,6.45,144779.43,96.95,36,44.692,-26.133
2020-04-03,Indonesia,Extreme Heat,5.43,111,3662871.82,19.55,340526.45,70.32,55,25.554,-34.343
2023-10-21,Germany,Volcanic Eruption,3.68,104,2219604.72,12.48,220952.33,91.85,30,-5.822,-85.712
2018-03-28,India,Drought,4.33,66,2916213.88,19.91,251629.37,73.79,47,10.597,-91.761
2018-10-18,Mexico,Earthquake,9.24,280,2221547.09,2.77,696450.07,93.69,94,24.941,-149.983
2021-09-15,India,Earthquake,6.55,70,6354344.35,1.0,193283.62,97.74,59,-51.497,-89.078
2024-01-18,Bangladesh,Hurricane,8.26,47,6446377.8,6.46,651478.49,86.36,88,-44.123,148.075
2023-04-21,Nigeria,Storm Surge,5.02,51,6180453.54,10.56,190755.94,89.79,48,-30.84,-9.189
2019-01-22,Canada,Hurricane,5.23,139,9372117.15,2.99,484340.52,87.25,51,-48.368,-23.443
2023-03-28,Canada,Landslide,6.18,140,4253540.77,6.73,247929.99,90.32,66,43.66,-151.582
2022-07-08,Brazil,Earthquake,5.71,74,8284201.75,9.94,378595.94,93.21,52,27.386,102.201
